scheme_code,nav_value,date
151548,10.3407,2023-10-04
151548,10.3463,2023-10-05
151548,10.3482,2023-10-06
151548,10.3521,2023-10-10
151548,10.3491,2023-10-12
151548,10.3602,2023-10-13
151548,10.3595,2023-10-17
151548,10.3628,2023-10-18
151548,10.3626,2023-10-20
151548,10.3605,2023-10-23
151548,10.3597,2023-10-25
151548,10.3763,2023-10-26
151548,10.3803,2023-10-27
151548,10.3829,2023-10-30
151548,10.3855,2023-10-31
151548,10.3866,2023-11-01
151548,10.3886,2023-11-02
151548,10.3929,2023-11-03
151548,10.3894,2023-11-06
151548,10.3937,2023-11-07
151548,10.3971,2023-11-08
151548,10.4024,2023-11-09
151548,10.4128,2023-11-10
151548,10.4104,2023-11-13
151548,10.3911,2023-11-15
151548,10.4085,2023-11-16
151548,10.4143,2023-11-17
151548,10.4206,2023-11-20
151548,10.4271,2023-11-21
151548,10.4279,2023-11-22
151548,10.4368,2023-11-24
151548,10.443,2023-11-28
151548,10.4357,2023-11-29
151548,10.4436,2023-11-30
151548,10.4449,2023-12-01
151548,10.4448,2023-12-04
151548,10.4544,2023-12-05
151548,10.4514,2023-12-06
151548,10.4568,2023-12-07
151548,10.4577,2023-12-08
151548,10.463,2023-12-11
151548,10.4635,2023-12-12
151548,10.4644,2023-12-13
151548,10.4651,2023-12-14
151548,10.4467,2023-12-15
151548,10.4267,2023-12-18
151548,10.45,2023-12-19
151548,10.4486,2023-12-20
151548,10.4686,2023-12-21
151548,10.4695,2023-12-22
151548,10.4801,2023-12-27
151548,10.4702,2023-12-28
151548,10.4599,2023-12-29
151548,10.4901,2024-01-02
151548,10.4882,2024-01-03
151548,10.4921,2024-01-04
151548,10.4781,2024-01-05
151548,10.4641,2024-01-08
151548,10.4729,2024-01-09
151548,10.4794,2024-01-10
151548,10.4593,2024-01-11
151548,10.4676,2024-01-12
151548,10.4683,2024-01-16
151548,10.4856,2024-01-17
151548,10.4885,2024-01-18
151548,10.4921,2024-01-19
151548,10.4915,2024-01-23
151548,10.4991,2024-01-24
151548,10.4985,2024-01-25
151548,10.5061,2024-01-29
151548,10.5023,2024-01-30
151548,10.4985,2024-01-31
151548,10.4886,2024-02-01
151548,10.4754,2024-02-02
151548,10.4977,2024-02-05
151548,10.5044,2024-02-06
151548,10.4972,2024-02-07
151548,10.5002,2024-02-08
151548,10.5036,2024-02-09
151548,10.5048,2024-02-12
151548,10.5075,2024-02-13
151548,10.5167,2024-02-14
151548,10.5137,2024-02-15
151548,10.519,2024-02-16
151548,10.5138,2024-02-20
151548,10.5034,2024-02-21
151548,10.5112,2024-02-22
151548,10.5093,2024-02-23
151548,10.5097,2024-02-26
151548,10.511,2024-02-27
151548,10.5156,2024-02-28
151548,10.5216,2024-02-29
151548,10.516,2024-03-01
151548,10.5198,2024-03-04
151548,10.525,2024-03-05
151548,10.5249,2024-03-06
151548,10.5136,2024-03-07
151548,10.5036,2024-03-11
151548,10.5135,2024-03-12
151548,10.5342,2024-03-13
151548,10.5334,2024-03-14
151548,10.538,2024-03-15
151548,10.5409,2024-03-18
151548,10.5472,2024-03-19
151548,10.568,2024-03-20
151548,10.5772,2024-03-21
151548,10.6063,2024-03-22
151548,10.6084,2024-03-26
151548,10.6111,2024-03-27
151548,10.6206,2024-03-28
151548,10.6209,2024-03-31
151548,10.6187,2024-04-02
151548,10.6286,2024-04-03
151548,10.6361,2024-04-04
151548,10.6322,2024-04-05
151548,10.6233,2024-04-08
151548,10.615,2024-04-10
119517,31.9519,2022-12-12
119517,32.3378,2022-12-13
119517,32.5735,2022-12-14
119517,32.424,2022-12-15
119517,31.6493,2022-12-16
